ticker,revenue_n,revenue_aci_weighted,revenue_aci_unweighted,op_profit_n,op_profit_aci_weighted,op_profit_aci_unweighted,net_profit_n,net_profit_aci_weighted,net_profit_aci_unweighted,aci_weighted,aci_unweighted
6574,14,6.752196023421701,1.804600294855817,14,3.2218520825810604,0.8610761888487451,14,2.7373310831074935,0.7315825047967905,4.237126396370085,1.1324196628337841
6577,12,5.2153004598771995,1.5055275622074402,9,4.905654761904762,1.6352182539682538,9,4.584708994708994,1.5282363315696648,4.9018880721636515,1.5563273825817863
6578,14,7.271305331043573,1.9433380930991375,14,4.415379991561289,1.1800599400599399,12,5.1667480387500975,1.4915116855036699,5.617811120451653,1.538303239554249
6579,14,6.310560917559723,1.6865683479910198,14,3.501272810395571,0.9357545195805247,14,1.7104334331482631,0.45713256355173654,3.840755720367852,1.0264851437077602
6580,14,6.407046916006668,1.7123553157631108,14,4.947857083531702,1.322370428949869,14,4.982132304154139,1.3315308669802437,5.445678767897504,1.455418870564408
6584,14,7.280132776044525,1.9456973270130054,14,3.6332125938798705,0.9710169099721949,14,2.62020502319295,0.7002792485637206,4.511183464372448,1.2056644951829736
6586,14,6.412141474578381,1.7137168938139824,14,6.179135700269832,1.6514434811995133,14,6.030066027144451,1.611602935228545,6.207114400664221,1.6589211034140137
6588,14,7.333568647564264,1.9599786643980437,14,5.702417791167668,1.5240352607709748,13,-1.38959739547994,-0.38540497397339507,3.882129681083997,1.0328696503985413
6590,14,7.265979673116158,1.941914751147456,14,6.353676131566963,1.6980913736319148,14,4.953658810204026,1.3239210056255506,6.191104871629048,1.6546423768016403
6592,13,7.1032651048169955,1.970091273740905,13,6.120772245964161,1.6975967829431282,13,5.820286387648305,1.6142570006577723,6.34810791280982,1.7606483524472687
6594,14,7.346838175276483,1.9635250948540026,14,5.7384375894450725,1.5336619567920289,14,4.984438497334873,1.3321472230338165,6.023238087352143,1.6097780915599493
6597,11,6.447576500169045,1.9440174598339601,11,3.8346649175230247,1.1561949752875462,11,3.7734518692566916,1.1377385467990606,4.685231095649587,1.4126503273068556
6599,14,6.251080487653606,1.6706715344248264,14,7.037086896978122,1.880740583532022,14,7.078872505041666,1.8919082570371504,6.789013296557798,1.8144401249979996
6612,12,6.333457265946815,1.8283116286976926,12,4.081601081377596,1.1782567415290115,11,4.308635254668546,1.299102408930268,4.907897867330985,1.435223593052324
6613,13,4.38561877112027,1.216351796454731,13,5.165949012016817,1.4327764653276287,13,4.836334462085145,1.3413578375647341,4.795967415074077,1.330162033115698
6614,8,5.455878027398329,1.9289441752500214,8,3.5394229432448903,1.2513749823278553,8,5.0220637735245095,1.7755676749052411,4.672454914722576,1.6519622774943727
6615,14,6.537237852301961,1.747150307083132,14,4.462447797587278,1.192639340352539,14,1.898954319359211,0.5075168897269053,4.29954665641615,1.1491021790541922
6616,14,7.2533220714694036,1.9385318648117114,14,3.9688678947085645,1.06072456252616,14,0.7747487564978912,0.20706031483173287,3.9989795742252863,1.0687722473898682
6617,14,6.274052041506321,1.676810940436161,14,5.098446828842475,1.3626172313009015,14,3.8296308290100467,1.0235118914273325,5.067376566452947,1.3543133543881318
6619,5,4.307625239512094,1.9264285714285712,5,3.41075966962243,1.5253380952380955,5,-0.3955781717909629,-0.17690793650793654,2.4409355791145204,1.0916195767195769
6620,14,6.076214082086094,1.6239365217040913,14,5.988885448343569,1.6005969625955487,14,6.601222113421956,1.7642508201729108,6.222107214617206,1.6629281014908504
6622,14,7.405361630724474,1.9791661462380392,14,6.37246159913853,1.7031120010249976,14,6.943654949367342,1.855769845179268,6.907159393076782,1.8460159974807684
6625,14,5.2846974083911205,1.4123947924979814,14,5.876688344254331,1.5706110252176817,14,5.57629183997441,1.490326682417679,5.57922586420662,1.4911108333777807
6626,14,7.359467854436108,1.9669005185911597,14,5.8487546600493605,1.5631454340858717,14,6.372095632384274,1.7030141922957562,6.526772715623248,1.7443533816575958
6627,13,7.080260635660382,1.9637109819632899,13,6.079448811195337,1.6861357242556447,13,4.371308312708401,1.2123827894101629,5.843672586521373,1.6207431652096993
6629,14,7.302918280085472,1.9517870091205896,14,4.744265664038241,1.267958333333333,14,3.6033616434216658,0.9630389078804689,5.216848529181793,1.3942614167781304
6630,11,6.453920665909195,1.9459302977764972,11,6.168541311545937,1.859885184927697,11,5.880841845110489,1.77314053196844,6.167767940855207,1.8596520048908778
6632,14,7.359683904686163,1.9669582604493048,14,5.219510898460119,1.3949729648978855,14,3.3087809947420084,0.8843089178709761,5.2959919326294305,1.415413381072722
6633,5,3.019962180585257,1.350568145053426,5,1.931919706916788,0.8639807583474817,5,1.9914208448758126,0.8905904761904762,2.3144342441259527,1.0350464598637945
6634,13,6.587406950002145,1.8270179638908142,13,2.462404043069209,0.6829480029381438,13,-0.6351185159379845,-0.17615018270853816,2.80489749237779,0.7779385947068066
6635,12,6.126101767830102,1.768453252369876,12,4.190157839447163,1.20959437827592,12,2.103545275650008,0.6072412155745489,4.139934960975757,1.1950962820734483
